"";"alpha";"beta";"psi";"kappa"
"95";0,521077940136713;0,973918858752994;NA;9,99719131651265
"96";2802,13769238846;2327,95843488746;2965,55151307461;2541,08299480242
"97";2975,60772633015;2491,74314325891;2660,65288969521;2763,83589939299
"98";2901,59591253324;2204,8352162023;2729,01992987109;2581,98267261154
"99";0,500107165821285;0,957864602019801;NA;2,55719874342599
"100";NA;0,933830724212587;NA;3,27680951238834
"101";2396,62450563538;3157,11244710089;2136,68081649289;2952,49752810816
"102";0,500107165821285;3,00340691493555;NA;2,69120103028716
"103";2796,97983568958;2449,08610567673;2757,46551330467;2375,9541158845
"104";NA;4,13408152293639;NA;1,51430809810807
"105";2629,0172347697;1928,22870191376;2717,3968493675;2664,40215772467
"106";3091,59173222033;2489,6656900691;2658,46923010932;2567,9783729904
"107";2912,27620692459;2072,04658906151;2802,25940408586;2145,6492478083
"108";0,530655984248461;0,816526526162542;NA;3,56749741553712
"109";2730,3102444917;1996,62875219021;2665,75519800381;2235,45985089792
"110";2600,90452881184;2535,8300756969;2915,08784266862;2517,78199181194
"111";0,500107165821285;5,28838017984804;NA;2,12207005330592
"112";3285,47421469223;2569,62017141532;3015,57535847661;2918,70706296163
"113";2893,08390448045;2439,74004459399;2461,10296803403;2572,75256595636
"114";2843,20366314605;2249,18585265552;2576,53195842512;2618,80290933319
"115";2617,66854754657;2490,42770925535;2754,67721291085;2435,1422794275
"116";0,500107165821285;0,647900378870522;NA;0,856336617111458
"117";0,500107165821285;1,533590794708;NA;0,932995956023956
"118";2827,86703381732;2478,32682284696;2586,31092465677;2757,50741577483
"119";3102,02821803052;2137,03578412204;2965,60932970286;2565,07117788007
"120";0,500107165821285;0,723229915594408;NA;1,11549200612211
"121";0,500107165821285;3,20615558818248;NA;1,18349666857169
"122";3036,46409451807;2719,73510545449;2890,45460590137;2683,56554827665
"123";3096,48300315662;2713,93880102832;2682,23932740207;2476,20603468377
"124";0,500107165821285;0,943033944220645;NA;1,91594514655794
"125";2885,8409297278;2545,73540098789;2825,08002361105;2856,73253969569
"126";2931,64425198956;2274,54833387376;2878,0042744379;1962,79928140436
"127";3144,55751159696;2618,06020583766;3141,06420380616;2324,7484052409
"128";0,500107165821285;1,09288623448682;NA;1,80484227656348
