;mean;sd;bias;cp;;Mean means;Mean SDs;Mean bias;Mean cps
199;-2,052736393;0,0855092;2,636819646;1;;;;;
200;-2,074543477;0,073169949;3,727173871;1;;;;;
201;-2,052192374;0,082138055;2,609618678;1;;;;;
202;-1,964927311;0,073926331;-1,753634462;1;;;;;
203;-1,984047502;0,069167071;-0,797624877;1;;;;;
204;-2,01728878;0,081022185;0,864438985;1;;;;;
205;-1,968107278;0,081816176;-1,594636086;1;;;;;
206;-1,917651989;0,076849982;-4,117400541;1;;;;;
207;-1,825552626;0,082740479;-8,722368708;0;;;;;
208;-2,030662558;0,07563365;1,533127899;1;;;;;
209;-1,83120611;0,080372409;-8,439694479;0;;;;;
210;-2,045386593;0,08000655;2,269329632;1;;;;;
211;-1,951827065;0,073622907;-2,408646732;1;;;;;
212;-2,002697812;0,073553216;0,134890592;1;;;;;
213;-1,977931389;0,083545231;-1,103430537;1;;;;;
214;-2,091193072;0,073777324;4,559653618;1;;;;;
215;-1,950089913;0,076816591;-2,495504325;1;;;;;
216;-2,050087776;0,077247973;2,5043888;1;;;;;
217;-2,152846703;0,088278077;7,642335139;1;;;;;
218;-2,025173415;0,078479218;1,258670746;1;;;;;
219;-1,916896647;0,075191595;-4,155167651;1;;;;;
220;-1,874823152;0,077073897;-6,258842381;1;;;;;
221;-1,911140649;0,072979186;-4,442967542;1;;;;;
222;-1,835224104;0,081161553;-8,238794801;0;;;;;
223;-1,82875591;0,079790199;-8,562204514;0;;;;;
224;-2,014064021;0,070760929;0,70320104;1;;;;;
225;-2,068825434;0,074749587;3,441271699;1;;;;;
226;-2,081202632;0,081019596;4,060131594;1;;;;;
227;-1,956240202;0,076287182;-2,187989881;1;;;;;
228;-2,061168222;0,078636521;3,058411114;1;;;;;
229;-1,982703953;0,07991657;-0,864802339;1;;;;;
230;-2,008847747;0,07994692;0,442387347;1;;;;;
231;-2,045925145;0,084749697;2,296257265;1;;;;;
232;-2,060098581;0,08158759;3,004929034;1;;;;;
233;-1,963041614;0,07676165;-1,847919281;1;;;;;
234;-2,028638842;0,073858592;1,43194212;1;;;;;
235;-1,956063651;0,077545535;-2,196817447;1;;;;;
236;-1,959875773;0,077674828;-2,006211356;1;;;;;
237;-1,948186886;0,074504726;-2,590655699;1;;;;;
238;-1,939039819;0,078255645;-3,048009054;1;;;;;
239;-1,919216225;0,076703478;-4,039188756;1;;;;;
240;-1,969798367;0,078124824;-1,510081649;1;;;;;
