;mean;sd;bias;cp;;Mean means;Mean sds;Mean bias;Mean CP
159;0,678201754;1,029453536;-66,0899123;1;;;;;
160;0,233115561;0,349887687;-88,34422195;0;;;;;
161;0,89136581;1,449319775;-55,4317095;1;;;;;
162;0,333354115;0,528850869;-83,33229425;0;;;;;
163;1,023701576;1,402132484;-48,8149212;1;;;;;
164;0,236082377;0,392637398;-88,19588113;0;;;;;
165;0,278830396;0,480603199;-86,05848019;0;;;;;
166;0,577527994;0,929968807;-71,12360032;1;;;;;
167;0,594603787;0,978307997;-70,26981066;1;;;;;
168;0,536510457;0,877083352;-73,17447714;1;;;;;
169;0,216376287;0,33618418;-89,18118566;0;;;;;
170;0,58145393;1,046462537;-70,92730352;1;;;;;
171;0,606467046;0,944461537;-69,67664768;1;;;;;
172;0,430043653;0,677060944;-78,49781734;1;;;;;
173;0,447017434;0,725804391;-77,64912829;1;;;;;
174;0,459350002;0,80157305;-77,0324999;1;;;;;
175;0,485186178;0,825718347;-75,74069112;1;;;;;
176;0,32335974;0,521943184;-83,83201301;0;;;;;
177;1,915341822;2,288605292;-4,232908913;1;;;;;
178;0,327430171;0,523325941;-83,62849145;0;;;;;
179;0,756633513;1,070473462;-62,16832434;1;;;;;
180;0,612353611;0,976310746;-69,38231944;1;;;;;
181;1,245391846;1,712450793;-37,7304077;1;;;;;
182;0,32161858;0,488007107;-83,91907101;0;;;;;
183;0,777275661;1,07112052;-61,13621696;1;;;;;
184;0,335997717;0,54673394;-83,20011413;0;;;;;
185;0,582911384;0,999979908;-70,85443079;1;;;;;
186;0,643170604;0,961244441;-67,84146978;1;;;;;
187;0,561940476;0,86866837;-71,90297621;1;;;;;
188;0,362541751;0,586377962;-81,87291247;1;;;;;
189;0,270104457;0,435221636;-86,49477717;0;;;;;
190;0,575209402;0,901519425;-71,2395299;1;;;;;
191;0,291179935;0,449507047;-85,44100325;0;;;;;
192;0,605548343;0,92670757;-69,72258283;1;;;;;
