"";"alpha";"beta";"lambda";"lp"
"162";3246,03303112326;2041,77923689939;3085,01154841112;2164,57366056856
"163";3257,43251607481;3131,98159915601;2898,34971588154;2708,34078395911
"164";3105,55410909688;2744,6062252358;2735,24050775254;2612,88125129201
"165";2830,40600546731;2258,60202402524;2544,13068182981;2095,64387486518
"166";2802,68467022777;2967,81215487279;2514,23711551004;2647,14562530283
"167";3080,02434491331;2776,26056572213;2934,05301702716;2382,12531018415
"168";2897,01928626315;2455,77574246262;2610,97071392528;2304,51590328724
"169";2832,63467271914;2897,81771033631;2731,18551554001;2513,17127690826
"170";2977,99007517888;2659,40557265806;2381,09757597166;2564,15335964892
"171";3232,42703855231;2600,62172499436;2584,12617799873;2611,7474704131
"172";3488,18206748176;3189,42276015361;3000,26136766217;2252,65023539734
"173";3761,44035604395;3086,32183977024;3268,56859494309;2897,49535024594
"174";2475,83358432619;2701,29188481676;2739,10726306015;2389,87056503234
"175";2622,99547911341;2353,85262940343;2289,0474704803;2212,18935289512
"176";3346,17521189264;2303,29370468885;2662,00689469439;2412,10468448906
"177";3007,51476273672;2628,7840080796;2549,89416009113;2373,75869976179
"178";3532,51063946351;3194,33550361395;2697,04475101845;2653,60331858463
"179";3622,06220993572;3069,19611884018;3041,36702563275;2787,03535301906
"180";3287,47236719129;2503,70425236558;2538,41504128192;2488,99746711821
"181";2517,56544064931;2661,33278269274;2363,46818183687;2384,90660532482
"182";2997,10662396984;2707,95772452956;2766,16504366728;2428,73722252279
"183";3147,69376335976;2787,5022988638;2905,84552116955;2774,78084710312
"184";3026,94127775525;2591,80645317674;2696,58254594576;2371,88742166778
"185";3002,55185810449;2897,09691313574;2163,85085953354;2416,66021769836
"186";2687,2703858422;2575,78458507361;2518,79573520667;2350,81053392036
"187";3232,92865479114;2588,80424663548;2883,62359191906;2762,90743041533
"188";2920,59608425381;2592,53234203402;2496,98304760167;2087,75841673896
"189";2921,67150962513;2784,60476535476;2826,13080769185;2294,95006964677
"190";4165,10258036157;3005,11407655176;2770,67799248244;2978,53911508051
"191";2254,65252721442;2861,97747063748;1973,2413521509;2438,12338891059
"192";3115,87360462203;2845,4581875427;2871,30638842728;2730,69890748943
"193";3556,43481100902;3198,01250368436;3046,18891214295;2819,03490345603
"194";3191,33945140222;2474,75819475895;2532,43499172853;2628,56749252732
"195";3081,936893865;2578,17345521225;2468,13043861343;2292,3277092018
"196";2593,00408066981;2769,50442828667;2368,80573518335;2442,85741892723
"197";3307,73003289873;2751,329558391;2567,80490427008;2423,76641500176
"198";3381,56367006655;2516,83653627808;2784,34848746825;2589,3751676637
"199";3112,19121189953;2877,06233751512;3152,52427638621;2383,44718297461
"200";3306,96624800345;2773,73020393196;2714,38689573345;2401,93845395812
"201";3167,80215627259;2795,2865194956;2766,69695890535;2561,18076918683
"202";3662,82722457589;2578,44008832213;2647,10916214799;2495,53167700434
"203";3540,74944708971;2969,62154818168;3287,06353561447;2536,58715551259
"204";3291,83859826028;2814,79002957423;2956,63530967243;2527,72635859426
"205";2760,47407053496;2413,66375721915;1953,83607498021;2186,707443602
"206";3040,84946777418;2913,95712743973;2943,33112000126;2439,98357768086
"207";2780,93202012033;2900,86090195445;3064,1889906059;2282,04900826754
"208";3109,59509667511;2625,07335530292;2872,59578587903;2715,41174742414
"209";3167,49589286249;2903,44346993164;3050,84121024592;2753,28031154072
"210";3314,74070660817;2278,56220422452;2420,74902449224;2631,6306439835
"211";3325,9577342322;3115,79157894615;3191,119738205;2603,99511952148
"212";2196,9003489291;1768,14130573846;1857,95399644951;2043,36179394261
"213";2493,35773716104;2600,24758784029;2361,75226190854;2285,28328858839
"214";2383,86995625899;2078,46690138538;1868,51226755099;1889,24643692704
"215";2770,42614557439;2428,92652795097;2154,73023305525;2471,43119739366
"216";2769,64643060006;2271,17074518897;2301,55238307965;2299,02515084121
"217";2526,2757240243;2367,94267026838;2187,98709541108;2421,44018075959
"218";2998,95556535801;2982,86608947384;3008,07212336453;2643,72167657239
"219";3227,65921888048;2856,53469900031;2847,72235346395;2339,87348389093
"220";3376,97959754185;2658,81961084639;2675,70207453067;2645,97921865169
"221";2750,87144082961;2398,1892768239;2147,21050053545;2174,16790161574
"222";2620,85438716909;2630,34840472936;2403,77277009688;2466,85925628504
"223";2785,45215276471;2511,5375897214;2549,78785420328;2227,26799462449
"224";2766,90594543127;2862,97350270979;2820,60573361255;2468,1587785788
"225";2635,72507871555;2710,57519372808;2422,70384698314;2618,56483871439
"226";3341,72381165276;2710,09357709516;2971,31183341429;2646,33189898588
"227";3029,86592178368;2559,99676034744;2832,30458151429;2303,23578273118
"228";4057,89248800087;3038,43625037239;3311,2430742981;2066,17435814906
"229";2626,88729438506;2988,98531293598;2479,6016899332;2327,25915491013
"230";2170,27974534803;2045,30830338837;1999,28212069248;2153,21930734165
"231";2844,17861761027;2502,18514070225;2676,94117028491;2588,63566736466
"232";3079,16362031945;2694,98280306392;2656,05375132626;2469,01578084576
"233";3573,84757181065;2774,15481790844;2849,83077999193;2492,53084290765
"234";3558,67685673554;2722,41441375685;2660,60364048089;2727,09616375938
"235";2504,78268199593;2230,54382966418;2177,76701280093;2373,99116143922
"236";3143,20661447256;3058,02613863785;2562,10251912347;2646,89128550391
"237";3292,91774562586;3199,65869133964;3157,36165112158;2614,92854948439
"238";3113,93966688432;2836,65810381848;2873,07136066719;2433,17685496242
"239";2785,49260049806;2715,27609021865;2705,34837978975;2289,80779173993
"240";2789,81436523942;3026,32458870038;2475,95335066938;2282,53427160028
"241";3028,58916513152;2911,73600792938;2643,65367592696;2511,90090420182
"242";3360,63997747402;2953,22393858298;2713,67925354949;2815,10911817049
"243";2651,786661868;2849,76948307422;2514,84285260235;2598,94001118939
"244";2729,86539498391;2388,38963668128;2476,59891991177;2571,15742398921
"245";2620,01200957707;2438,15802114107;2375,10334420056;2341,15099866662
"246";2760,30550501173;2796,43699379355;2971,66424670449;2373,97002894142
"247";2635,15706016184;1873,65672501747;1768,98350529641;1776,5212629925
"248";2752,85294175563;2713,54957790235;2495,33221393195;2852,1172596727
"249";2648,65884906959;2539,05190632351;2354,74192061209;2266,64205110805
"250";3341,10225005523;2532,4831542382;2602,68313808207;2387,91178897925
"251";3431,20689044813;2390,75505272575;2171,05507643679;2566,00634471608
"252";3232,7501874427;2700,10731539806;2482,69716307893;2530,6504209016
"253";3016,07711304991;2387,52911708897;2612,2286058867;1947,71162922881
"254";3325,40729270767;3190,96139870804;3246,80157220095;2695,45520326629
"255";3163,34561812369;3137,99610485212;3004,6396003706;2480,21378025058
"256";3003,2593544281;2687,43718427146;2692,26067375391;2545,76766688591
"257";2826,74597519132;2565,70482542907;2484,80773900201;2553,63327205142
"258";3114,29764311898;2374,33112091069;2589,46824883051;2390,91726361255
"259";3190,16123051572;2713,71884004201;2596,00031088561;2760,67054968037
"260";2613,91162135243;2725,76632495655;2545,52989873518;2377,83766730286
"261";2387,43467786237;2069,14099250372;2057,76360237186;2296,66857840301
"262";2317,2035308146;2441,80006957989;2138,92702535224;2128,28554045584
"263";2882,16580910901;2737,43121325358;2649,93843861943;2340,66633887746
"264";2440,58400919956;2654,0628367433;2389,88046090076;2490,08545711048
"265";3094,60444290309;2523,17395755689;2547,01226119332;2314,04913726074
"266";3366,35650390937;2745,4157449524;3135,79539456475;2290,9751546865
"267";3169,00189362165;2958,19447321041;2696,78453043317;2708,62952050292
"268";2994,52019245641;3037,7220433035;2912,7510242165;2305,91369107768
"269";2890,62703615145;2662,59584198125;2757,29470989229;2432,11734451151
"270";3384,58351612235;3398,33523892919;3214,27100617112;2566,09838657019
"271";2951,509809683;2574,66526658114;2432,48867330512;2361,30026666924
"272";2529,34604396826;2438,55218358637;2143,81646602188;2297,64674881078
"273";3189,80024777702;2673,32526374213;2599,27542286597;2945,74504117466
"274";2973,8476422366;2244,62743309503;2087,60421154638;2163,24401086106
"275";2740,04831220026;2660,07680462926;3091,11176041255;2444,95637948401
"276";3118,38376304593;2603,7477620311;3055,55622815642;2513,82334077181
"277";3679,46062920164;3522,79034955571;3482,47176410283;2562,95706371607
"278";3116,1292807637;3138,00760916673;3021,84842276068;2445,29481140293
"279";2988,59029089677;2782,91662598364;2782,02548868857;2486,90166088649
"280";2656,96373259918;2763,61588527182;1986,62851400176;2640,28003127104
"281";2619,68141018702;2553,68910120496;2793,21388582852;2269,29681292236
"282";1682,46976370848;2050,57859649405;1638,61073225726;1982,00991498105
"283";2683,93738268362;2126,80894406625;2265,19675999392;2748,29105991955
"284";2365,98871590641;2415,63656681514;2596,24719225427;1703,84296559757
"285";2065,81281475268;1994,6565998206;1711,23516268079;2035,80661528511
"286";2321,30310323365;2034,91290876411;1983,18680031152;2314,64893997832
"287";3289,59360221336;2268,9827898837;2352,44574941136;2243,28220321471
"288";2674,60987694297;2844,60480527943;2853,2725598425;2523,20229695408
"289";3313,358677748;2749,31994395251;2973,96397406973;2225,66375873374
"290";2293,54363930616;2134,03648252919;2111,23289567737;2419,58871425978
"291";3052,0211881265;3219,39414947268;3095,99655256871;2608,90381705815
"292";2836,31403481058;2803,84235289785;2484,87569672895;2397,11254162116
"293";3025,86679008355;2308,05748887439;2460,66728307637;1982,66251416762
"294";2576,72264783312;2453,8006716275;2205,98032590953;2945,86912116929
"295";3209,76410325147;3312,33399408014;3354,50381986102;2692,19899612013
"296";3393,55742052933;2825,15005771743;2640,00399892889;2534,37930680781
"297";3117,54447140756;2465,86950554039;2720,39731820564;2387,21031897167
"298";2339,27742001;2625,21164928292;2361,42780592168;2464,70777558231
"299";3021,40400672943;1990,5006118216;2047,73538607401;2661,76883734124
"300";3153,96793612965;3168,51126750567;2689,86159652313;2711,90254432751
"301";3346,13604459244;2706,80377941602;2927,95302860388;2405,42388865184
"302";3667,63297860722;2989,88710872796;3163,81834091155;2682,15111193106
"303";2659,71057646321;2337,15832254416;2311,8998436535;2388,74999206862
"304";2041,06694483431;2137,99360749645;2005,51650495167;2102,50375955155
"305";3047,40330871395;2961,4196842937;2508,26750211524;2595,51659297648
"306";3751,22599652766;2922,78216115829;3051,16402574186;2618,09271859799
"307";2853,55268951764;2547,28036075129;2301,40406460954;2050,64734687689
"308";2990,48936302484;3470,69642054731;2857,16696268733;2590,73253761951
"309";2728,64857490513;3061,14606295185;2448,7354361562;2732,29918837285
"310";3280,27732953247;2367,63098418574;2230,07739096793;2199,44506830824
"311";2382,46089760056;2483,7736174349;2278,23781276532;2338,28434174183
"312";3126,46964691703;2933,12730821768;2328,31647822246;2981,79274874683
"313";3029,37482657436;2491,12220540046;2633,81229735251;2255,49622618424
"314";2972,34846654182;2649,8300809249;2785,08237082456;2113,17441771297
"315";2859,28762354968;1913,46665942174;1894,7995882133;1833,4884484819
"316";3316,49502930239;3024,31673205482;2946,78056900214;2824,93040064264
"317";2824,96448172651;2896,64341522767;2572,69419201226;2530,81729307455
"318";2660,5657275397;2608,97778683649;2846,04965634378;2070,25941129786
"319";3543,64080024826;2503,69362259443;3165,86747858517;2169,76748752447
"320";3358,46130249957;3256,18249467636;3383,3886835238;2362,94224055345
