;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
163;-2,084873471;0,555246542;4,243673531;1;;;;;
164;-1,580229782;0,525374313;-20,98851089;1;;;;;
165;-2,055950839;0,663412528;2,797541963;1;;;;;
166;-2,664726209;0,615144862;33,23631045;1;;;;;
167;-2,540925238;0,638561103;27,0462619;1;;;;;
168;-2,361165349;0,535765426;18,05826745;1;;;;;
169;-2,047173086;0,496258983;2,358654289;1;;;;;
170;-1,173707362;0,440067369;-41,31463189;1;;;;;
171;-2,477103909;0,667668062;23,85519545;1;;;;;
172;-2,496085249;0,538084673;24,80426246;1;;;;;
173;-1,77380625;0,463723433;-11,30968751;1;;;;;
174;-2,128695143;0,647414782;6,434757166;1;;;;;
175;-0,8071042;0,447130448;-59,64478998;0;;;;;
176;-1,789563367;0,487070009;-10,52183164;1;;;;;
177;-2,202468006;0,560196339;10,12340029;1;;;;;
178;-1,613218522;0,386030529;-19,33907391;1;;;;;
179;-3,292403116;0,723076886;64,62015582;1;;;;;
180;-1,929712004;0,454006905;-3,514399782;1;;;;;
181;-1,683697353;0,512584634;-15,81513237;1;;;;;
182;-2,60726923;0,475182818;30,36346148;1;;;;;
183;-2,205454977;0,471208798;10,27274884;1;;;;;
184;-2,241657537;0,429455597;12,08287685;1;;;;;
185;-1,892929082;0,622901611;-5,353545894;1;;;;;
186;-1,445843181;0,597884605;-27,70784094;1;;;;;
187;-1,691998316;0,639836443;-15,40008422;1;;;;;
188;-2,987241006;0,632718356;49,36205031;1;;;;;
189;-1,782891681;0,624325827;-10,85541595;1;;;;;
190;-1,576228317;0,352194169;-21,18858416;1;;;;;
191;-2,656938399;1,061137664;32,84691995;1;;;;;
192;-2,254954852;0,636848493;12,74774258;1;;;;;
193;-1,409656005;0,596974587;-29,51719977;1;;;;;
194;-2,135163929;0,490661137;6,758196459;1;;;;;
195;-1,692663301;0,745360722;-15,36683495;1;;;;;
196;-3,367946306;0,87403568;68,39731528;1;;;;;
197;-1,961530805;0,464893424;-1,923459747;1;;;;;
198;-2,107612839;0,645295199;5,380641937;1;;;;;
199;-2,917703716;0,741406475;45,88518582;1;;;;;
200;-2,30874793;0,860857807;15,43739652;1;;;;;
201;-1,754868937;0,497458617;-12,25655315;1;;;;;
202;-2,117697775;0,542985618;5,884888726;1;;;;;
203;-1,329970411;0,53717549;-33,50147944;1;;;;;
204;-2,671025219;0,579230337;33,55126093;1;;;;;
205;-0,852676934;0,518955681;-57,36615332;0;;;;;
206;-1,748851688;0,525249757;-12,55741561;1;;;;;
207;-1,932292499;0,555735168;-3,385375026;1;;;;;
208;-1,875002715;0,436312075;-6,249864255;1;;;;;
209;-1,346995067;0,534186301;-32,65024666;1;;;;;
210;-1,943866736;0,702419225;-2,806663179;1;;;;;
211;-3,717127496;0,813709564;85,85637481;0;;;;;
212;-1,769076804;0,467116496;-11,54615979;1;;;;;
213;-1,945762634;0,45611813;-2,711868289;1;;;;;
214;-2,278130328;0,525469825;13,90651642;1;;;;;
215;-1,350201509;0,466498901;-32,48992455;1;;;;;
216;-2,727721145;0,518264973;36,38605727;1;;;;;
217;-1,850304814;0,552424028;-7,484759275;1;;;;;
218;-2,017544763;0,577860733;0,877238148;1;;;;;
219;-1,3615429;0,421146465;-31,92285498;1;;;;;
220;-2,380800224;0,480156615;19,04001122;1;;;;;
221;-2,08843454;0,397875406;4,421726995;1;;;;;
222;-0,890519547;0,643296524;-55,47402267;1;;;;;
223;-1,466292079;0,472241623;-26,68539604;1;;;;;
224;-1,778624736;0,511824869;-11,06876318;1;;;;;
225;-3,18236416;0,65136277;59,11820801;1;;;;;
226;-4,280650328;0,753823899;114,0325164;0;;;;;
227;-2,146588558;0,715924478;7,329427906;1;;;;;
228;-1,523616774;0,419497914;-23,8191613;1;;;;;
229;-1,732993717;0,424886455;-13,35031415;1;;;;;
230;-1,23562174;0,31181092;-38,21891302;0;;;;;
231;-2,577656711;0,550203822;28,88283556;1;;;;;
232;-2,159967;0,626643066;7,998349985;1;;;;;
233;-3,702056364;0,768451168;85,10281818;0;;;;;
234;-1,960683537;0,844209599;-1,965823172;1;;;;;
235;-1,796867957;0,397708366;-10,15660217;1;;;;;
