;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean Bias;Mean CP
322;-2,005510394;0,060242697;0,27551969;1;;;;;
323;-2,038677439;0,064871182;1,933871957;1;;;;;
324;-1,985684986;0,061205485;-0,71575071;1;;;;;
325;-2,067850707;0,060739407;3,392535359;1;;;;;
326;-1,993910663;0,056827975;-0,304466841;1;;;;;
327;-2,038566861;0,058508941;1,928343029;1;;;;;
328;-2,10379215;0,063467449;5,189607483;1;;;;;
329;-1,968316297;0,062210364;-1,584185165;1;;;;;
330;-1,911848346;0,062727003;-4,407582723;1;;;;;
331;-1,919082528;0,058683003;-4,045873577;1;;;;;
332;-1,942426183;0,062456831;-2,878690853;1;;;;;
333;-2,051405757;0,060261364;2,570287836;1;;;;;
334;-1,989726711;0,058388808;-0,513664447;1;;;;;
335;-2,168650523;0,066932204;8,432526142;0;;;;;
336;-2,121948287;0,060114084;6,09741434;0;;;;;
337;-2,09530106;0,06446203;4,765052996;1;;;;;
338;-1,900752287;0,062000793;-4,962385659;1;;;;;
339;-2,126625104;0,063072713;6,331255193;0;;;;;
340;-1,970256919;0,059092857;-1,487154048;1;;;;;
341;-2,014921036;0,064056954;0,74605179;1;;;;;
342;-1,851803212;0,058836283;-7,409839383;0;;;;;
343;-1,916494123;0,061671376;-4,175293845;1;;;;;
344;-2,024748021;0,061454466;1,237401053;1;;;;;
345;-1,940746965;0,060326904;-2,96265174;1;;;;;
346;-1,970823479;0,06216657;-1,45882603;1;;;;;
347;-2,047604559;0,06279832;2,380227941;1;;;;;
348;-2,05407657;0,060877869;2,703828482;1;;;;;
349;-1,944237316;0,060381999;-2,788134201;1;;;;;
350;-2,06467412;0,062481772;3,233706002;1;;;;;
351;-2,213918954;0,067074491;10,69594769;0;;;;;
352;-1,974446849;0,060275329;-1,27765753;1;;;;;
353;-1,986616141;0,061344884;-0,669192935;1;;;;;
354;-2,085655237;0,060471603;4,282761857;1;;;;;
355;-2,003282004;0,063695322;0,164100184;1;;;;;
356;-1,98839404;0,058754464;-0,58029798;1;;;;;
357;-1,978648799;0,059141167;-1,067560055;1;;;;;
358;-1,89311019;0,059685776;-5,344490513;1;;;;;
359;-2,030372568;0,066791646;1,51862841;1;;;;;
360;-2,045974784;0,059544595;2,298739181;1;;;;;
361;-2,04688623;0,062876067;2,344311513;1;;;;;
362;-2,020356756;0,058017493;1,01783778;1;;;;;
363;-2,015312199;0,059799526;0,765609956;1;;;;;
364;-1,989035282;0,062787248;-0,54823592;1;;;;;
365;-1,981789426;0,057136484;-0,910528717;1;;;;;
366;-1,972880452;0,067022774;-1,355977421;1;;;;;
367;-2,010656397;0,062863049;0,532819834;1;;;;;
368;-2,007362666;0,060513206;0,368133277;1;;;;;
369;-1,995656982;0,060074697;-0,217150888;1;;;;;
370;-1,942373462;0,0573029;-2,881326908;1;;;;;
371;-2,103575431;0,065695251;5,178771573;1;;;;;
372;-1,917057497;0,060526718;-4,147125168;1;;;;;
373;-1,976112467;0,059978238;-1,194376626;1;;;;;
374;-1,930692104;0,059715721;-3,465394787;1;;;;;
375;-1,999558262;0,060694471;-0,022086881;1;;;;;
376;-2,063342758;0,062533445;3,167137891;1;;;;;
377;-2,063788418;0,061818394;3,189420882;1;;;;;
378;-2,066723109;0,063988964;3,336155448;1;;;;;
379;-1,991930852;0,059280781;-0,403457384;1;;;;;
380;-1,955187874;0,059984286;-2,240606285;1;;;;;
381;-2,179165503;0,064802812;8,958275148;0;;;;;
382;-1,919795943;0,059963112;-4,01020285;1;;;;;
383;-2,020015611;0,060894156;1,000780574;1;;;;;
384;-1,925290646;0,058974834;-3,735467694;1;;;;;
385;-2,006365267;0,062900176;0,318263345;1;;;;;
386;-1,940209694;0,058010463;-2,989515302;1;;;;;
387;-1,96430956;0,059188605;-1,784522019;1;;;;;
388;-2,071016638;0,063849939;3,550831898;1;;;;;
389;-1,901983092;0,058946566;-4,900845377;1;;;;;
390;-1,997305662;0,060895586;-0,134716896;1;;;;;
391;-1,92705495;0,058988768;-3,647252493;1;;;;;
392;-1,958349501;0,058219789;-2,082524935;1;;;;;
393;-2,099745269;0,062145052;4,987263437;1;;;;;
