;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
82;1,131833177;0,506489315;-43,40834114;1;;;;;
83;3,622553965;1,268572601;81,12769826;1;;;;;
84;1,588706562;0,705806232;-20,5646719;1;;;;;
85;1,864252566;0,889660769;-6,787371696;1;;;;;
86;1,027631376;0,524602003;-48,61843119;1;;;;;
87;2,13649606;0,935549889;6,824803009;1;;;;;
88;1,634214117;0,740173304;-18,28929415;1;;;;;
89;0,66323422;0,414797349;-66,83828899;0;;;;;
90;2,397100973;1,001626237;19,85504866;1;;;;;
91;2,00507913;0,77643467;0,253956493;1;;;;;
92;1,639413158;0,839018604;-18,0293421;1;;;;;
93;2,675394434;1,042296567;33,76972171;1;;;;;
94;1,982854066;0,810201024;-0,857296702;1;;;;;
95;0,826805651;0,540205886;-58,65971747;1;;;;;
96;2,312298156;1,080235512;15,61490779;1;;;;;
97;2,196757878;0,927706773;9,837893904;1;;;;;
98;3,004434172;1,201199446;50,22170862;1;;;;;
99;1,983560235;0,743023337;-0,821988238;1;;;;;
100;0,989020447;0,471075296;-50,54897763;1;;;;;
101;0,769473479;0,390711663;-61,52632603;0;;;;;
102;2,073521443;0,856794637;3,67607215;1;;;;;
103;1,75522428;0,75133334;-12,23878601;1;;;;;
104;2,588411563;0,917331809;29,42057817;1;;;;;
105;1,710605963;0,657765703;-14,46970185;1;;;;;
106;2,233757345;0,968668208;11,68786725;1;;;;;
107;1,114048077;0,618922094;-44,29759613;1;;;;;
108;0,896965051;0,391360604;-55,15174744;0;;;;;
109;1,00366144;0,726669086;-49,81692801;1;;;;;
110;1,368738993;0,58473038;-31,56305036;1;;;;;
111;3,8718093;1,31643001;93,59046502;1;;;;;
112;1,958660099;0,876053171;-2,066995041;1;;;;;
113;1,686749523;0,662512924;-15,66252383;1;;;;;
114;1,48638253;0,681851382;-25,68087348;1;;;;;
115;1,554392143;0,627266253;-22,28039286;1;;;;;
116;1,82045551;0,703726338;-8,977224505;1;;;;;
117;1,068599218;0,480956692;-46,57003911;1;;;;;
118;1,052553616;0,489325759;-47,37231919;1;;;;;
119;1,787289701;0,742313311;-10,63551493;1;;;;;
120;1,746354894;0,667564009;-12,6822553;1;;;;;
121;2,371806851;0,970159687;18,59034255;1;;;;;
122;1,55413707;0,686001379;-22,29314648;1;;;;;
123;1,972078496;0,723400935;-1,39607522;1;;;;;
124;2,687140548;1,039846318;34,35702738;1;;;;;
125;4,192639247;1,643358028;109,6319624;1;;;;;
126;1,530872416;0,582350791;-23,45637921;1;;;;;
127;1,780984373;0,629039564;-10,95078136;1;;;;;
128;1,459533817;0,705488963;-27,02330915;1;;;;;
129;1,702017069;0,814519611;-14,89914654;1;;;;;
130;1,990258163;0,781771328;-0,487091837;1;;;;;
131;2,198850509;0,956073995;9,942525449;1;;;;;
132;1,250632439;0,729844307;-37,46837807;1;;;;;
133;1,433485272;0,655537041;-28,32573642;1;;;;;
134;2,727121016;1,142238591;36,3560508;1;;;;;
135;1,061808162;0,514823792;-46,90959191;1;;;;;
136;0,965994551;0,542461588;-51,70027243;1;;;;;
137;1,740268287;0,81680581;-12,98658564;1;;;;;
138;1,046402353;0,518490881;-47,67988234;1;;;;;
139;1,922799403;0,959670854;-3,860029853;1;;;;;
140;1,634645478;0,799245114;-18,26772609;1;;;;;
141;1,748119037;0,798997791;-12,59404815;1;;;;;
142;1,973138069;0,787415716;-1,343096566;1;;;;;
143;1,95846851;0,729471388;-2,076574498;1;;;;;
144;3,321738414;1,149988152;66,08692072;1;;;;;
145;1,357850445;0,611894415;-32,10747775;1;;;;;
146;1,828773557;0,793634442;-8,561322136;1;;;;;
147;1,247382345;0,653968699;-37,63088273;1;;;;;
148;1,898006862;0,729565973;-5,099656898;1;;;;;
149;1,863136603;0,727928736;-6,843169873;1;;;;;
150;1,150452489;0,57649601;-42,47737556;1;;;;;
151;3,36105023;1,631761752;68,05251152;1;;;;;
152;2,300866999;0,926987396;15,04334993;1;;;;;
153;1,514712049;0,698000609;-24,26439755;1;;;;;
154;1,522711569;0,77573258;-23,86442154;1;;;;;
155;1,980765813;0,892379291;-0,961709338;1;;;;;
156;1,976878619;0,747134617;-1,156069039;1;;;;;
157;1,002302861;0,478190958;-49,88485694;1;;;;;
158;2,064334461;0,800932142;3,216723055;1;;;;;
