;mean;sd;bias;cp;;Mean of means;Mean of SDs;Mean of Bias;Mean CP
178;7,170865986;2,075087017;-28,29134014;1;;;;;
179;9,627997325;2,513926125;-3,720026748;1;;;;;
180;8,549101769;2,677579952;-14,50898231;1;;;;;
181;6,415187117;2,034165411;-35,84812883;1;;;;;
182;4,694783423;1,107160653;-53,05216577;0;;;;;
183;7,444887956;2,176901686;-25,55112044;1;;;;;
184;6,75687978;1,764598809;-32,4312022;1;;;;;
185;10,66332974;2,907327008;6,633297375;1;;;;;
186;7,175269548;2,240724797;-28,24730452;1;;;;;
187;9,987960079;2,941893264;-0,120399206;1;;;;;
188;6,87551774;1,725748637;-31,2448226;1;;;;;
189;7,484822095;2,253568813;-25,15177905;1;;;;;
190;4,038581943;1,045043792;-59,61418057;0;;;;;
191;7,35297457;2,040334819;-26,4702543;1;;;;;
192;12,28695826;3,140384952;22,86958256;1;;;;;
193;4,973813566;1,591890357;-50,26186434;0;;;;;
194;6,105271512;1,741900305;-38,94728488;1;;;;;
195;11,34924393;3,358994591;13,49243934;1;;;;;
196;9,462448989;2,380231819;-5,375510107;1;;;;;
197;12,92282569;3,602949095;29,22825694;1;;;;;
198;8,444125574;2,375556818;-15,55874426;1;;;;;
199;13,69805062;3,617375778;36,98050621;1;;;;;
200;10,9018185;3,031812238;9,01818495;1;;;;;
201;9,155903892;2,623550375;-8,440961083;1;;;;;
202;10,58494129;3,115984119;5,84941288;1;;;;;
203;6,335059579;2,106388489;-36,64940421;1;;;;;
204;12,44270938;3,172160393;24,42709381;1;;;;;
205;12,45302201;3,636143045;24,53022007;1;;;;;
206;12,42437452;3,374508401;24,24374523;1;;;;;
207;10,41198665;2,893839012;4,119866521;1;;;;;
208;7,058369451;2,037770726;-29,41630549;1;;;;;
209;7,886992788;2,441470065;-21,13007212;1;;;;;
210;9,902017429;2,534747717;-0,979825709;1;;;;;
211;10,48499063;2,617468599;4,849906259;1;;;;;
212;5,552103075;1,867642403;-44,47896925;1;;;;;
213;7,410683871;2,200441061;-25,89316129;1;;;;;
214;9,24757832;2,454525844;-7,524216803;1;;;;;
215;8,244557212;2,307029488;-17,55442788;1;;;;;
216;7,260147588;2,135471843;-27,39852412;1;;;;;
217;6,680621388;1,92423839;-33,19378612;1;;;;;
218;5,182537225;1,419069172;-48,17462775;0;;;;;
219;9,349016467;2,82647702;-6,509835331;1;;;;;
220;9,524815902;2,368265139;-4,751840975;1;;;;;
221;6,479924721;1,595856633;-35,20075279;1;;;;;
222;11,25992077;3,027128949;12,59920769;1;;;;;
223;13,15453642;3,768346788;31,54536418;1;;;;;
224;11,35937175;3,215798884;13,59371748;1;;;;;
225;7,940522314;2,207238474;-20,59477686;1;;;;;
226;10,22137554;2,387110865;2,213755382;1;;;;;
227;7,132353736;2,123917572;-28,67646264;1;;;;;
228;7,402241727;2,325880336;-25,97758273;1;;;;;
229;5,857475049;1,870663668;-41,42524951;1;;;;;
230;6,263737257;2,071996087;-37,36262743;1;;;;;
231;7,967627993;2,217758317;-20,32372007;1;;;;;
232;8,252391691;2,438779896;-17,47608309;1;;;;;
233;7,675558399;1,902365484;-23,24441601;1;;;;;
234;8,951700717;2,508439263;-10,48299283;1;;;;;
235;8,113240441;2,084403348;-18,86759559;1;;;;;
236;9,233268141;2,735911718;-7,667318595;1;;;;;
237;8,174923702;2,255855459;-18,25076298;1;;;;;
238;9,154562822;2,957927012;-8,454371782;1;;;;;
239;9,602411893;2,787597445;-3,975881069;1;;;;;
240;8,45281742;2,456107052;-15,4718258;1;;;;;
241;7,645741776;2,270264226;-23,54258224;1;;;;;
242;10,1371027;2,891456008;1,371026999;1;;;;;
243;8,50768279;2,488572481;-14,9231721;1;;;;;
244;5,246930711;1,424611198;-47,53069289;0;;;;;
245;10,12927248;2,796987499;1,2927248;1;;;;;
246;8,007331692;2,201242297;-19,92668308;1;;;;;
247;7,641692163;1,894078102;-23,58307837;1;;;;;
248;8,878337527;2,822110243;-11,21662473;1;;;;;
249;9,601021768;2,622042618;-3,989782318;1;;;;;
250;9,112785759;2,704395496;-8,872142412;1;;;;;
251;9,913517763;3,086057244;-0,86482237;1;;;;;
